EP2 - Ciclistas!

Ranking - Rodada 1:
  80o - 0071 
  81o - 0048 
  82o - 0058 


Ranking - Rodada 17:
   1o - 0040 
   2o - 0053 
   3o - 0094 
   4o - 0076 
   5o - 0054 
   6o - 0039 
   7o - 0083 
   8o - 0016 
   9o - 0004 
  10o - 0075 
  11o - 0038 
  12o - 0023 
  13o - 0043 
  14o - 0028 
  15o - 0029 
  16o - 0064 
  17o - 0067 
  18o - 0085 
  19o - 0077 
  20o - 0056 
  21o - 0086 
  22o - 0011 
  23o - 0090 
  24o - 0032 
  25o - 0065 
  26o - 0046 
  27o - 0050 
  28o - 0078 
  29o - 0042 
  30o - 0041 
  31o - 0063 
  32o - 0010 
  33o - 0033 
  34o - 0008 
  35o - 0061 
  36o - 0036 
  37o - 0020 
  38o - 0052 
  39o - 0037 
  40o - 0044 
  41o - 0068 
  42o - 0096 
  43o - 0055 
  44o - 0095 
  45o - 0088 
